'snails	'con oc sen
italianism	chu nghia y
italianize	y hoa
italianized	tieng y hoa
italianizing	ngon ngu hoa
italicizing	in nghieng
italics	chu in nghieng
itching	ngua
itchless	khong ngua
itchy	ngua ngay
iterant	ho da tro lai
iulidan	nguoi nao
ivied	bi duoi di
ivory-bill	nga voi
ivorytype	loai nga voi
ivy-mantled	cay thuong xuan
ixodian	nguoi ixodian
ixtli	ca
izedism	chu nghia ized
jaal goat	dong chi de
jabberingly	noi nham nhi
jack	giac cam
jack-o'-lantern	den bi ngo
jacket	ao khoac
jacketing	chay nhay
jackknife	dao khoan
jackpudding	banh pudding jack
jackwood	go mit
jacobinizing	jacobi hoa
jaded	giut giut
jadeite	ngoc bich
jaggery	thot not
jaggy	lom chom
jagua palm	co cho
jaguar	bao dom
jairou	con quay hoi chuyen
jalapic	waterpik
jalapin	ot jalapeno
jalons	cot moc quan trong
jamacina	jamaica cua toi
jamaican	nguoi jamaica
jambeux	legy
james's powder	bot james
jamestown weed	co dai jamestown
jammed	ket
jamming	lam ket
jan	thang mot
janitor	nguoi gac cong
janitress	nguoi lam nghe bao ve
janizarian	nguoi janizarian
jansenism	chu nghia jansenism
jantu	sinh vat
january	thang mot
janus-faced	mat janus
janus-headed	janus-dau
japan	nhat ban
japhetic	nhat ban
jar	cai lo
jar-owl	cu lo
jargle	noi gieu cot
jargonist	nghe si biet ngu
jarl	ba tuoc
jasmine	hoa nhai
jasperize	trai nghiem
jaundiced	vang da
javanese	nguoi javan
javelin	phong lao
jaw	quai ham
jaw-fallen	nga ham
jawbone	xuong ham
jawed	co ham
jawy	toi ban
jayet	may bay phan luc
jealously	ghen ti
jealousness	su ghen ti
jealousy	long ghen ti
jears	banh rang cua
jedding ax	riu cuoi
jeel	nha tu
jeerer	nguoi gieu cot
jeffersonian	nguoi jeffersonian
jehovah	gie-ho-va
jehovistic	hong trang
jejunum	nhin an
jellied	co thach
jelly	thach
jellying	nau ruou
jemlah goat	de jemlah
jemminess	toi tin
jenite	dong yen
jenny	cu choc
jeoparder	ke nguy hiem
jeopardizing	gay nguy hiem
jeopardy	nguy co
jerkin	toi giat minh
jerking	giat
jerky	thit kho
jeropigia	chau au
jerquer	giat day
jerry-built	jerry-xay dung
jerseys	ao dau
jested	co y kien
jester	he
jesuitically	mot cach vui ve
jesuitism	thuyet giao ly
jesus	chua giesu
jet	may bay phan luc
jet-black	may bay phan luc den
jets d'eau	may bay phan luc nuoc
jettee	co ay noi, nhech mep
jettison	phan luc
jeu d'esprit	tro choi tri tue
jew's-stone	da jew
jewel	vien ngoc quy
jeweler	tho kim hoan
jewellery	do kim hoan
jewelling	kim hoan
jewelweed	cay kim sa
jewess	trang suc
jewstone	da quy
jibed	no bat dau
jibing	dich benh
jig	do ga
jimson weed	co dai jimson
jingoism	chu nghia gieu cot
jinnee	than den
jinny road	duong jinny
jippo	that la mot cau chuyen hai huoc
jobbed	trinh tu cong viec
jobbery	hoi lo viec lam
jobbing	viec lam
jockey	nguoi dua ngua
jockeyism	chu nghia dua ngua
jockeys	nguoi chay xe ngua
jockeyship	phi thuyen
jocularity	vui tinh
joculator	nguoi gia lap
joculatory	dua cot
jocund	ho noi dua
joe-pye weed	co dai joe-pye
jogger	nguoi chay bo
johannean	st. john's
johnson grass	co johnson
johnsonianism	chu nghia johnsonian
joinant	gia nhap
joiner	nguoi tham gia
joinhand	chung tay
joint-fir	chung cho
jointless	khong co khop
jointly	cung nhau
jointureless	khong tham gia
jointweed	cay xuong rong
jointworm	giun khop
joke	cau noi dua
joker	nguoi pha tro
jolly-boat	thuyen jolly
jolted	xoc nay
jonquille	hoa thuy tien vang
jorden	trai dat
jorum	trong ngay
joseph's flower	hoa cua joseph
joss	nhum
jostling	chen lan
jotter	nguoi dua gion
jotting	viet voi
jouissance	su huong thu
journalist	nha bao
journalizing	viet nhat ky
journey-bated	cuoc hanh trinh
journeymen	nguoi hanh trinh
jove	nguoi dan ong tre
jovialist	nguoi theo chu nghia vui ve
jovialness	tinh vui ve
jovinianist	nghe si jovinianist
jowl	su gieu cot
jub	chuan roi
jubilantly	tung bung
jubilation	su han hoan
jubilee	nam thanh
jucundity	vui suong
judaism	dao do thai
judaization	su tu phap hoa
judaized	tu phap hoa
judaizer	nha tu phap
judas	giu-da
judas-colored	mau judas
judgeship	quyen phan xet
judicable	co the phan xet
judicial	tu phap
judicially	ve mat tu phap
jug	cai binh
jugement	su phan xet
juggernaut	suc manh ap dao
juggler	nghe si tung hung
juggleress	nguoi tung hung
jugulating	nhay nhot
jugums	binh ngam
juiceless	khong co nuoc ngot
jujube	tao tau
juke	tung hung
juli	thang bay
julus	qua trinh
july-flower	hoa thang bay
jumble	mo bong bong
jumbler	nguoi noi chuyen phiem
jument	mare
jumped	da nhay
junction	giao lo
juncture	cho noi
juneberry	nuoc ep trai cay
jungle	rung nhiet doi
juniper	cay bach xu
junker	phe thai
junket	lien hoan
junketed	da bo rac
jupati palm	long ban tay cua anh ay
jupiter	sao moc
jupon	vay lot
juratory	nguoi dan chuong trinh
jurisdictional	quyen tai phan
jurisdictive	co tham quyen
jurisprudential	luat hoc
jurist	luat gia
juristical	phap ly
jurymen	boi tham doan
justicehood	cong ly
justicement	su cong bang
justiciary	giam doc tham
justico	su cong bang
justification	su bien minh
justificator	nguoi bien minh
justified	chinh dang
justifying	bien minh
justinian	nguoi cong giao
justled	chi co long
jutting	nho len
juvenal	thang sau
juvenescence	thoi nien thieu
juvenescent	tre ra
juvenility	vi thanh nien
juwansa	den luot anh ay
juwise	thang bay
juxtapose	canh nhau
juxtaposit	xep canh nhau
juxtapositing	ket hop voi nhau
juxtaposition	gan nhau
kaama	toi da khong den
kabassou	phich cam
kadder	van mang
kafal	mot cai khoa
kafilah	doan caravan
kaftan	mot tro dua
kagu	chim cu
kaguan	ke hoach noi that
kahani	cau chuyen
kaimacam	camcom
kairoline	cairoian
kaka	mua thu
kakaralli	trong so nhung con qua
kaleege	con gi nua
kaleidoscopic	kinh van hoa
kaleidoscopical	van hoa
kalmia	binh tinh
kam	da den
kamsin	nho nhan
kanchil	chung toi la
kangaroo	con chuot tui
kantianism	thuyet kantian
kaolin	cao lanh
kaolinization	kaoli hoa
kapellmeister	nhac truong
kapia	keo cao su
kapnomar	toi se nhan duoc no
karaism	suc loi cuon
karma	nghiep chuong
karreo	su nghiep
katabolism	di hoa
kathetal	catal
kathetometer	may do duong cheo
kavasses	trong ke hoach
kayak	cheo xuong
kayaker	nguoi cheo thuyen kayak
kayko	toi day
kayles	thuyen kayles
kecksy	nuong banh quy
keelman	toi tu choi
keenly	sac sao
keeper	thu mon
keepsake	vat ky niem
keg	thung hang
kele	te bao
keloid	seo loi do protein
kelpies	tao be
kelpware	phan mem tao be
kelter	ruou ep
kembing	con de
kendal green	kendal xanh
kennel coal	cui than
kenogenesis	tao chan khong
kentle	voi thanh pho
kept	da giu
kerasine	do cung cua no
keratitis	viem giac mac
keratonyxis	keratonychitis
keratose	day sung
kerchered	co day buoc
kerf	khac cham
kerl	chang
kermesse	su kien
kerolite	bai hat mung
kerosene	dau hoa
ketchup	sot ca chua
ketine	da nga
kettle	am dun nuoc
kettledrummer	nuoc sot ca chua
kevel	chi co
kex	banh quy
key tone	giai dieu chinh
key-cold	phim lanh
keyage	rang
keyed	co chia khoa
keyhole	lo khoa
keyway	ranh chia khoa
khanate	han quoc
khenna	mon an
kiabooca wood	go kiabooca
kibble	an nho
kiblah	hon
kiby	got cua toi
kickable	co the da duoc
kickup	da len
kicky-wisky	kicky-khon
kicred	co giay
kidding	dua
kidney-form	dang than
kidney-shaped	hinh than
kiefekil	kieffect
kieselguhr	dong ho thach anh
kike	giong cai
kill	giet chet
kill-joy	giet chet niem vui
killing	giet choc
kiln-dry	lo say kho
kilnhole	lo nung
kilogrammetre	kilogam met
kiloliter	kilogam
kilometre	km
kilos	kilogram
kilter	nguoi giet
kindergarten	mau giao
kindergartner	tre mau giao
kindled	lam giong
kindler	nguoi tu te
kindless	khong tot bung
kindly	tu te
kinetics	dong hoc
king charles spaniel	vua charles spaniel
king's bench	bang ghe cua nha vua
king-post	vua-bai
kingbird	chim vua
kingcraft	tau vua
kingdomed	vuong quoc
kinged	lam vua
kingfish	ca vua
kingfisher	boi ca
kinghood	vuong quoc
kingless	khong co vua
kingly	vua chua
kingship	vuong quyen
kingston metal	kim loai kingston
kingston valve	van kingston
kinkajou	tren tien vang
kinkle	gap khuc
kinky	lap di
kinoyl	rap chieu phim
kinsfolk	nhung nguoi tot bung
kinsmanship	than toc
kinsmen	ba con
kirschwasser	kirsch
kirtle	oc lap cap
kisser	nguoi hon
kissingcrust	hon nhau
kit	bo dung cu
kitchen	phong bep
kitchen middens	trung tam nha bep
kitchen-ry	cay t chuoi
kitchener	bep nho
kitchenmaid	nguoi hau bep
kiteflying	tha dieu
kithara	dan ghi ta
kittysol	meo con
kiver	mu bao hiem
kjoekken moeddings	nhin co vu
klick	nhap chuot
klicket	cu nhap chuot
klipdas	trong clip
klipfish	ca kep
klipspringer	nguoi nhay da
knackish	gion
knacky	so truong
knagged	co kien thuc
knap	cai nut
knapping	cai cuc ao
knapsack	ba lo
knarled	ban khit mui
knaveship	conveyship
kneadable	co the nhao duoc
kneader	nguoi nhao bot
knebelite	nhung tro dua
knee-crooking	khuy goi
knee-deep	sau den dau goi
knee-high	cao den dau goi
kneebrush	ban chai dau goi
kneejoint	khop goi
kneeler	nguoi quy goi
kneelingly	quy goi
kneepiece	ban tay
knell	tieng chuong
knelled	nhao nan
knelling	su nhao nan
knicker	nguoi dan lat
knife	dao
knife-edge	song dao
knifeboard	bang dao
knight	hiep sy
knight bachelor	cu nhan hiep si
knight banneret	bieu ngu hiep si
knight baro-net	hiep si baro-net
knight marshal	hiep si soai ca
knight service	dich vu hiep si
knight templar	hiep si
knight-er-ratic	hiep si-er-ratic
knight-errant	hiep si giang ho
knight-errants	ky si
knightage	thoi dai hiep si
knighted	phong tuoc hiep si
knighthead	dau hiep si
knightless	khong co hiep si
knightliness	tinh hiep si
knightly	hiep si
knights bachelors	hiep si cu nhan
knights bannerets	hiep si bannerets
knights templars	hiep si thai duong
knights-errant	hiep si-sai lam
knitback	dan lai
knits	do dan
knitted	det kim
knitter	tho det kim
knives	nhung con dao
knobbed	co num
knobbling fire	lua chay
knobstick	tay cam
knock-knee	dau goi
knockdown	ha guc
knocker	nguoi go cua
knockings	tieng go
knockstone	gach da
knoll	chuong keu
knolling	quy xuong
knop	nut van
knopweed	ha thu o
knotberry	qua dau tay
knotless	khong that nut
knotweed	cay ha thu o
knout	that nut
know-all	biet tat ca
know-nothingism	chu nghia khong biet gi
knower	nguoi biet
knowleche	bi quyet
knubs	dam sam vao
knuckling	dot ngon tay
knurled	co khia
kobellite	nhung nguoi dan ong
kohl	su hao
kokama	lo cu
koklass	lop hoc nau an
kolarian	va cham
komtok	toi la mot may tinh
konite	be tong
kookoom	cai ken
koolslaa	xa lach tron
koran	kinh koran
kotowed	khen ngoi
kousso	qua bi
kowtow	lay
krameria	ham ruou
kranging hook	moc noi
kreel	chang trai
kriegsspiel	tro choi chien tranh
krone	vuong mien
kruller	may uon toc
krupp gun	sung ban dan ghem
kudos	thanh danh
kukang	cu li cham
kummel	hoa cuc
kurd	nguoi kurd
kurdish	nguoi kurd
kusimanse	dung noi chuyen
kuskus	couscous
kyaboca wood	go kyaboca
kyannite	kiem tra dac biet cua ban
kyanophyll	tao lam
kyar	vua du
kydde	thu minh lai
kynrede	ly do gioi tinh
kyrie eleison	cuoc bau cu kyrie
kytomiton	te bao chet
kytoplasma	te bao chat
l'envoy	gui anh ay
labarraque's solution	giai phap cua labarraque
labefaction	chan thuong
labeler	nguoi dan nhan
labelling	dan nhan
labent	ho truot
labia	moi am ho
labialism	chu nghia me cung
labially	thuoc ve phong thi nghiem
labiated	me hon
labile	khong ben
lability	su de dai
labipalpus	chuc may man
labor	nhan cong
labor-saving	tiet kiem lao dong
laboratories	cac phong thi nghiem
laborer	nguoi lao cong
laborous	se lam viec
lacashire boiler	noi hoi lancashire
lace-bark	vo ren
lace-winged	co canh ren
lacemen	tho lam ren
lacerable	co the bi rach
lacerating	lam rach da
lacewing	lam ren
lachrymae christi	nuoc mat cua chua kito
lachrymate	voi mot giot nuoc mat
lachrymose	rung rung
lackadaisy	thieuadaisy
lackaday	thieu ngay
lackbrain	thieu nao
lackeyed	co tay sai
lackeying	lam an gian doi
lacklustre	mo nhat
laconic	van tat
laconicism	thuyet laconicism
laconism	chu nghia son mai
lacquerer	tho son mai
lacteal	nhu sua
lactescence	thoi ky cho con bu
lactiferous	co dau nhot
lactifical	sai su that
lactifuge	chong tham sua
lactim	voi sua
lactometer	may do luong sua
lactory	cho con bu
lactoscope	may soi sua
lactose	duong lactose
lactucarium	nong dan chan nuoi bo sua
lactucone	duong lactose
lacune	khoang trong
lacunose	chua hoan thien
ladde	sac pin
lademan	nguoi linh gac
ladies' eardrops	bong tai cua phu nu
ladies' tresses	vay cua phu nu
ladify	chat day
ladle	lo noi
ladlefuls	muc day
ladling	muc canh
lady's bedstraw	giuong cua phu nu
lady's bower	nguoi phu nu trong hoa
lady's comb	luoc cua phu nu
lady's cushion	dem cua phu nu
lady's finger	ngon tay cua phu nu
lady's garters	day nit cua phu nu
lady's hair	toc cua phu nu
lady's laces	day buoc cua phu nu
lady's looking-glass	kinh cua quy ba
lady's mantle	ao choang cua phu nu
lady's seal	con dau cua quy ba
lady's slipper	dep cua phu nu
lady's smock	ao khoac cua phu nu
lady's thumb	ngon tay cai cua phu nu
lady's traces	dau vet cua phu nu
lady-killer	nu sat thu
lady-killing	giet phu nu
ladybird	bo canh cam
ladyfish	an tuoi nuot song
ladyhood	de de doa
ladylikeness	tinh quy phai
ladylove	bo rua
laemodipodous	hai co
laetere sunday	vao chu nhat hang khong
laevigate	ban van chuyen
laevulose	mat tau
lagena	binh giu nhiet
lagenae	chai lo
lagenas	ga-long
lager	bang lang
lager beer	bia lager
lager wine	ruou bang lang
lagger	nguoi tut hau
laggingly	tut hau
lagune	dam pha
laicality	tinh lich thiep
laically	xa cach
lair	hang o
laissez faire	de cho no duoc
lake-dweller	nguoi o ho
lamarckianism	chu nghia lamarckianism
lamarckism	chu nghia lamarckism
lamb's-quarters	cuu cua quy
lambale	tai nhot
lambdacism	chu nghia lambdacism
lambert pine	cay thong lambert
lambskin	da cuu non
lamed	de mo rong
lamella	com lam
lamellate	lam trung
lameness	su khap khieng
lames	luoi dao
lamination	can mong
laminitis	viem da
lamish	mau xanh lam
lammergeier	ken ken cuu
lamp-post	cot den
lampadist	tho den
lampblack	bong den
lampless	khong den
lamplighter	nguoi danh den
lampooned	co den
lampooner	nguoi lam den
lamprel	ngon den
lampreys	mang den
lampyrine	den ngu
lampyris	cay den
lanary	chim hoang yen
lanated	than tho
lance fish	ca mui mac
lanced	nhay mua
lanceolar	luoi mac
lanceolate	hinh mui mac
lanceolated	hinh luoi mac
land-poor	ngheo dat
landamman	bien gioi
landed	ha canh
landgrave	ruong dat
landlady	ba chu nha
landleaper	nguoi nhay dat
landlock	chot chan
landlocked	khong co dat lien
landlordism	chu nghia dia chu
landlordry	dia chu
landlouping	dien dia
landlubber	chu nha
landman	nguoi dat
landmen	tay trong tay
landowner	chu dat
landowning	quyen so huu dat
landreeve	duong dat
landskip	tau nuoc
landslide	lo dat
landslip	truot dat
landsman	dong huong
landsmen	dong bao
landstreight	quan sat dat lien
landtag	nghi vien
landwaiter	nguoi giu dat
lane	lan duong
langaha	co quan
langret	khoang cach xa
langue d'oil	ngon ngu cua mat
languet	ong bi benh
languisher	nguoi mon moi
languishing	mon moi
langure	vooc
lanier	nguoi ve sinh
lankness	su cao leu ngheu
lanky	cao leu ngheu
lanterning	long den
lap-welded	han long
laparotomy	mo bung
lapboard	tam bia cung
lapel	ve ao
lapfuls	mat tich
lapidaries	nguoi mat tich
lapidescent	ho se bi nem da
lapidist	nguoi ban ve chai
laplandish	thuoc ve loai hoa co
lapling	lam mat hieu luc
lapped	vo ve
lapper	ban va loi
lappeted	bi roi
lappeting	va thu
lapping	tieng vo tay
lapse	troi di
lapsing	mat hieu luc
laquear	son mai
laramie group	nhom laramie
larch	cay tung la han
lardaceous	mo mang
larderer	nguoi nau ruou
lardy	mo lon
lares	nhung ngoi nha
large-acred	cay lon
large-handed	tay to
large-hearted	tam long rong lon
larget	xa xoi
lark's-heel	got chan chim son ca
lark-colored	mau lark
larviparous	au trung
laryngitis	viem thanh quan
laryngoscopist	bac si thanh quan
laryngoscopy	soi thanh quan
laryngotomy	cat thanh quan
laryngotracheotomy	cat khi quan
larynx	thanh quan
lasciviency	su dam o
lascivient	ho se choi
lash	day da roi
lasher	cua co the
lashing	don roi
lask	mot cu sut
lasso	day cot ngua
lassoing	la ca
laste	tre em
latchet	cai chot
latching	chot
latchkey	chia khoa
latchstring	day chot
lateness	su muon mang
laterad	tre
lateral	ben
laterality	mat ben
laterally	theo chieu ngang
laterifolious	muon mang
latescence	su lac hau
latewake	thuc day muon
lateward	tre nai
latex	mu cao su
lath	guom
lath-shaped	hinh lath
laticiferous	nguoi linh kinh
latifoliate	lam kho da
latinism	chu nghia vi dai
latinist	nghe si vi thanh
latinistic	nguoi vi dai
latinization	latinh hoa
latinized	latin hoa
latinizing	vi do hoa
latinly	tieng latin
latish	nguoi latvia
latitancy	su linh kinh
latitant	ho tron
latitat	an nau
latitudinal	vi do
latitudinarian	nguoi latitudinarian
latitudinarianism	thuyet latitudinarianism
latoun	ho yeu
latration	do tre
latreutical	tiem an
latrine	nha xi
latten	thanh go
latter-day saint	vi thanh ngay sau
latterkin	da sau
latterly	sau nay
lattice	mang tinh the
laudably	dang khen ngoi
laudative	tan duong
laudator	nguoi tan thuong
lauder	nguoi lauder
laugher	nguoi hay cuoi
laughingstock	tro cuoi
laughsome	hay cuoi
laughter	tieng cuoi
laughterless	khong cuoi
launching	tung ra
laund	clod
launderer	nguoi giat la
laundries	tiem giat la
laundry	giat ui
laundryman	nguoi giat ui
laureating	hoa khoi
laureation	vinh quang
laurel	nguyet que
laureled	doat giai
laurentian	nguoi doat giai
laurer	nguoi laurer
laurite	vong nguyet que
lavaret	anh ay se rua
lavature	giat giu
lavement	thuoc xo
lavender	hoa oai huong
lavic	bang ghe
lavour	nong nghiep
law-fall	pham luat
lawbreaker	nguoi pha luat
lawgiver	nguoi lam luat
lawgiving	tuan thu luat phap
lawless	luat rung
lawmaker	nha lam luat
lawny	bai co
lawyerlike	giong nhu luat su
laxativeness	nhuan trang
laxator	thuoc nhuan trang
lay	dat nam
layering	phan lop
laymen	cu si
lazarite	nhung nguoi luoi bieng
lazed	chet me chet met
leach	nuoc rut
leached	bi rua troi
leachy	nuoc ri
leader	lanh dao
leadership	kha nang lanh dao
leading	dan dau
leadman	nguoi dan dau
leadmen	nhung nguoi dan ong dan dau
leadwort	cay chi
leady	quy ba
leaf-footed	chan la
leaf-nosed	mui la
leafcup	la mao luong
leafiness	la cay
leaflet	to roi
leafstalk	tinh yeu rinh rap
league	lien doan
leaguerer	nguoi nhay cau
leaguing	nhay coc
leakage	su ro ri
leaked	bi ro ri
leaky	ro ri
lean-faced	mat gay
leaned	nghieng minh
leaning	nghieng nguoi
leap year	nam nhuan
leaper	nguoi nhay
leapingly	nhay vot
leapt	nhay qua
learnable	co the hoc duoc
learner	nguoi hoc
leasable	co the cho thue
leatherback	boc da
leatherette	giay da
leatherhead	dau da
leathering	phong da
leatherneck	day da
leatherwood	go da
leave-taking	nghi phep
leaved	da bo lai
leavened	co men
leavenous	co men la
leaviness	su rua nat
lectern	buc giang
lection	su cham soc
lectionary	sach bao
lectual	tri thuc
lecturer	giang vien
lectureship	giang duong
ledger	so cai
ledgment	su dan dat
leech	con dia
leeme	thien kien
leer	tap tin
leeway	su mat thoi gian
left-off	roi khoi
leftward	sang trai
legacy	di san
legalist	nha phap ly
legateship	quan he hop phap
legator	dai su
legerdemain	tan quan
legerdemainist	quan doi a than
legerity	long khoan dung
leggiadro	duyen dang
leggy	chan dai
legibleness	tinh de doc
legibly	de doc
legific	thai binh duong
legionary	linh le duong
legionry	quan doan
legislative	lap phap
legislatorship	quyen lap phap
legislatrix	lawlatrix
legislature	co quan lap phap
legist	toi
legitimation	su hop phap hoa
legitimism	chu nghia hop phap
legitimist	nguoi theo chu nghia hop phap
legitimizing	hop phap hoa
legless	cut chan
lego-literary	lego-van hoc
leguleian	truong hop le gulei
legumen	mot loai rau
legumens	cay ho dau
leguminous	thuoc ve cay dau
leisure	thoi gian ranh roi
leisured	nhan ha
lemmas	bo de
lemon	chanh
lemonade	nuoc chanh
lemurid	vuon cao
lendable	co the cho vay
lengest	dai nhat
lengthwise	chieu dai
lenify	khoan hong
leniment	su khoan hong
lenitude	chuyen bay
lenni-lenape	duoc-lenape
lenocinant	ninh not
lentando	dieu nay se
lenticulae	ong kinh
lentor	cham hon
lentous	dau lang
leo	su tu
leod	dan den
leopard's bane	bao hoa mai
lepadite	di choi
leper	nguoi cui
lepered	ban lot ra
lepidopterist	nguoi benh dich te
lepidote	ban dong y
lepidoted	cui bap
leprous	benh phong cui
leptology	bach hoc
leptomeningitis	viem mang nao mu
leptus	giuong
leptynite	lepton
lere	o day
lernean	trong lerne
lesbian	dong tinh nu
lese-majesty	rung hung vi
lesson	bai hoc
lessoning	bot di
lessor	ben cho thue
lest	e rang
let-alone	mac ke
let-up	buong tay
lethal	gay chet nguoi
lethality	kha nang chet nguoi
lethargize	lo do
lethargy	hon me
lette	de
lettered	co chu
letterless	khong co chu cai
letterwood	go thu
lettic	chu viet
letting	de cho
lettrure	bai doc
letts	chu cai
lettuce	rau diep
letuary	mat chu
leucitic	thuoc ve nguoi da trang
leucocythemia	bach cau
leucocytogenesis	su hinh thanh bach cau
leucoma	benh ung thu mau
leucopathy	benh da
leucoscope	kinh bach cau
leukaemia	benh bach cau
levari facias	lam cho no de dang
levation	su cho vay
levee en masse	song nhieu
leveler	nguoi san bang
levelism	chu nghia dang cap
levelling	san lap mat bang
levelly	ngang bang
lever	don bay
leveret	da giao hang
leverwood	cay don bay
levesel	voi sup
levigable	co the chiu duoc
levigated	duoc danh gia
levirate	ban lay lan
leviration	su danh thue
levitical	thuoc ve phap luat
levo-	ben trai-
levulin	vu rung
levy	tien thue
lewdster	ke dam o
lexicographer	nha tu dien hoc
lexicography	tu dien hoc
lexicology	tu vung hoc
lexiconist	nguoi hoc tu vung
ley	phap luat
leyden jar	lo leyden
leze majesty	su uy nghiem dang so
li bella	ho dep
liabilities	no phai tra
liability	trach nhiem phap ly
liable	chiu trach nhiem
liableness	kha nang chiu trach nhiem
liaison	su lien lac
liana	quan tam den
liard	danh ram
libant	ho thich
libbard	cay kiem
libbard's bane	lenh cam cua libbard
libelist	nguoi boi nho
liberalistic	theo chu nghia tu do
liberality	su phong khoang
liberalizer	nguoi tu do hoa
liberalizing	tu do hoa
liberally	phong khoang
liberator	nguoi giai phong
libertarian	nguoi theo chu nghia tu do
liberties	quyen tu do
libertinage	doi truy
liberty	su tu do
libidinist	nguoi viet libidinist
libidinosity	tinh chat libidinosity
libra	thien binh
librarianship	thu thu
librate	con vat
libration	uong ruou
libration point	diem libration
libretti	tap sach nho
lice	con chi
licensable	co the cap phep
licensed	duoc cap phep
licensee	nguoi duoc cap phep
licensing	cap phep
licensure	giay phep
licentiate	phan vi
lichenic	dia y
licheniform	dang dia y
lichenologist	nha dia y hoc
lichenology	dia y hoc
lick-spittle	liem nuoc bot
licker	nguoi liem
lickerish	thom tho
lickerous	dac quanh
lickpenny	liem lap
lictor	canh sat
lidded	co nap day
lidge	nap day
lidless	khong co nap
lieberkuhn	yeu dam
lieberkuhn's glands	tuyen lieberkuhn
lieder	bai hat
liedertafel	bang bai hat
lien	quyen cam giu
lienculi	lee eun rough
lieno-intestinal	la lach-ruot
lierne rib	xuong luoi hai
lieutenant general	trung tuong
lieutenantry	trung uy
lieutenantship	chuc vu trung uy
lieve	kinh thua
life-preserver	nguoi bao ton su song
life-saving	cuu sinh
life-size	kich thuoc cuoc song
life-weary	cuoc song met moi
lifeblood	huyet mach
lifeboat	thuyen cuu sinh
lifelike	song dong nhu that
lifelong	suot doi
lifen	doi song
lifestring	loi song
lift	nang
liftable	nang duoc
lifter	nguoi nang
lifting	nang
ligan	trong giai dau
ligature	chu ghep
ligeance	tang huyet ap
ligement	day chang
light-armed	vu trang nhe
light-boat	thuyen nhe
light-fingered	ngon nhe
light-handed	nhe tay
light-headed	nhe dau
light-hearted	nhe da ca tin
light-horseman	ky si hang nhe
light-legged	chan nhe
light-o'-love	tinh yeu anh sang
light-ship	tau hang nhe
light-winged	co canh nhe
lightened	nhe di
lightening	lam sang
lightermen	nguoi bat lua
lighthouses	ngon hai dang
lightless	khong co anh sang
lightman	nguoi dan ong nhe can
lightroom	phong anh sang
lightwood	go nhe
lign-aloes	thich aloes
ligneous	co hoa
lignification	hoa chat
lignite	than non
lignitic	chat phac
lignitiferous	co mau sang
lignum rhodium	go rhodium
lignum-vitae	cay doi
ligulated	ket hop
liguliflorous	giong hoa liguliflorous
ligure	tieng ligurian
likable	nhu nhau
like-minded	cung chi huong
likeable	de men
liked	da thich
likelihood	xac suat
likeliness	su thich thu
likely	rat co the
liken	vi von
likened	duoc vi nhu
lilacin	hoa ca
liliaceous	hoa ca gai leo
lilial	hoa lilial
lilies	hoa loa ken
lily	hoa loa ken
lily-livered	hoa lily song
lilywort	hoa lilywort
lim naea	lim o day
limacina	may tap tin
limaille	ho so
liman	hai cang
limb	chan tay
limbered	tay chan
limbless	khong chan tay
limbmeal	bot giay
lime twig	canh chanh
limer	chat ket dinh
liminess	su lim dim
liming	bon voi
limitable	co the gioi han
limitedly	co gioi han
limiter	nguoi gioi han
limned	lap lung
limner	nguoi lap liem
limous	chanh
limper	sach hon
limping	di khap khieng
limpitude	trong treo
limule	li muliao
linage	giay lot
linarite	cac linars
lincoln green	xanh lincoln
linctus	ben trai
lind	cay ca gai leo
linden	cay bo de
lineament	de cuong
linear-shaped	hinh tuyen tinh
lineary	thu vien
lineation	su xep hang
linemen	nguoi lot duong
linener	nguoi lot
lineolate	tuyen tinh
ling-bird	chim linh
lingo	biet ngu
lingoa wood	go lo to
lingot	thoi
linguatulida	am luoi kho
linguatulina	lingua franca
linguist	nha ngon ngu hoc
linguistically	ve mat ngon ngu
linguistics	ngon ngu hoc
lingulate	nan lai
linigerous	thuoc giong cay thong
liniment	vai lot
lining	lot
link motion	lien ket chuyen dong
linkman	nguoi lien ket
linnaeite	bua an thanh pho
linne	ao ba lo
linnet	vai lanh
linoleum	vai son
linseed	lanh
linsey	hoa ram
linsey-woolsey	linsey-lensey
lintie	xo vai
lintseed	hat lintseed
lintwhite	vai trang
lion's ear	tai su tu
lion's foot	chan su tu
lion's leaf	la su tu
lion's tail	duoi su tu
lion-hearted	trai tim su tu
lioness	su tu cai
lionet	nhung con su tu
lionism	chu nghia lionism
lionlike	giong su tu
lionly	su tu
lions' teeth	rang su tu
lionship	tau su tu
lipaemia	lipid huyet
liparian	nguoi hat nhep
liparite	aeolians
lipic	hat nhep
lipless	khong co moi
lipogrammatist	tu lipogram
liquable	co the uong duoc
liquefiable	co the hoa long
liquefier	chat hoa long
liquescent	hoa long
liqueur	ruou mui
liquidamber	thanh long
liquidation	thanh toan
liquidator	nguoi thanh ly
liquidizing	thanh ly
liquidness	tinh long
liquored	co ruou
liquorice	cam thao
liquorous	co chat long
liriodendra	cay hoa lily
lispingly	noi ngong
listed	liet ke
listened	da lang nghe
listerism	su lang nghe
listless	bo pho
litany	kinh cau
litchi	qua vai
literacy	trinh do hoc van
literal	theo nghia den
literalist	nha van hoc
literalty	nghia den
literary	van hoc
literati	nguoi biet chu
